Name,Age,Purpose,Depature,Destination,PeriodOfStay
단이든,19,business,kimpo,fukuoka,10
주이안,0,tourism,kimpo,osaka,68
단시호,61,business,incheon,fukuoka,9
차재희,71,business,busan,saporo,51
여채은,55,tourism,incheon,fukuoka,28
박현지,43,other,jeju,fukuoka,18
태도아,36,business,incheon,fukuoka,20
최세린,70,other,incheon,saporo,83
문준호,56,tourism,jeju,saporo,2
민로운,20,other,kimpo,fukuoka,83
곽지윤,71,other,incheon,fukuoka,65
백신우,31,business,jeju,saporo,41
함고은,62,tourism,kimpo,osaka,57
두원우,9,business,kimpo,tokyo,88
문시후,37,tourism,jeju,osaka,50
왕재희,20,business,kimpo,fukuoka,15
석재은,79,other,jeju,fukuoka,27
국은별,33,tourism,busan,saporo,10
어태경,13,other,jeju,osaka,39
지진서,39,tourism,kimpo,osaka,12
반다빈,23,business,jeju,saporo,1
지시후,50,other,busan,tokyo,54
온현우,37,other,jeju,fukuoka,61
백리안,72,tourism,jeju,osaka,35
우소정,39,other,jeju,osaka,43
민윤서,38,other,jeju,tokyo,64
백성원,74,other,incheon,fukuoka,69
라예린,35,tourism,busan,fukuoka,20
범지온,24,other,incheon,fukuoka,16
성예담,51,other,incheon,saporo,37
변승호,73,tourism,kimpo,tokyo,39
추서빈,57,tourism,incheon,saporo,32
황채이,19,tourism,jeju,saporo,30
구예지,45,other,incheon,fukuoka,88
도수진,61,other,kimpo,osaka,90
천연수,26,tourism,incheon,saporo,39
어제인,45,tourism,busan,fukuoka,48
단서윤,55,other,kimpo,saporo,17
오승찬,40,business,kimpo,saporo,28
형수민,14,business,jeju,osaka,71
상주영,35,other,kimpo,tokyo,31
감온유,12,tourism,kimpo,tokyo,9
갈태연,1,other,busan,osaka,23
옥유정,36,other,busan,tokyo,48
모주아,29,other,jeju,osaka,54
남승환,13,tourism,jeju,tokyo,10
소동규,56,business,kimpo,osaka,21
사하랑,8,other,kimpo,saporo,19
채유경,48,tourism,kimpo,saporo,24
육정민,75,other,kimpo,tokyo,30
구지연,33,business,incheon,osaka,18
신재이,6,tourism,busan,osaka,1
서성빈,38,business,incheon,osaka,10
나하준,35,tourism,incheon,osaka,29
예정원,1,other,jeju,fukuoka,11
반정우,12,tourism,busan,saporo,16
양연우,7,other,busan,saporo,2
여도하,32,tourism,jeju,fukuoka,8
백태인,8,tourism,kimpo,saporo,85
은강민,34,other,jeju,osaka,66
민다윤,2,business,jeju,tokyo,43
제서원,1,business,incheon,fukuoka,38
금범준,0,other,kimpo,tokyo,22
두정원,28,business,jeju,fukuoka,33
황예린,3,tourism,kimpo,tokyo,18
당세빈,32,other,busan,fukuoka,89
엄진우,57,business,kimpo,osaka,41
팽도영,63,tourism,jeju,osaka,79
갈예빈,24,business,incheon,osaka,59
온단비,53,other,busan,fukuoka,13
진민지,80,business,kimpo,fukuoka,85
전종현,64,tourism,kimpo,fukuoka,67
두정현,78,other,busan,osaka,38
함단우,17,tourism,busan,fukuoka,10
음태율,76,tourism,incheon,tokyo,32
조태하,15,tourism,incheon,osaka,32
마가온,58,business,incheon,osaka,71
경수혁,28,tourism,busan,fukuoka,15
경소영,30,tourism,incheon,osaka,21
육민기,46,tourism,kimpo,tokyo,85
윤윤슬,60,tourism,jeju,fukuoka,87
당건희,35,other,busan,fukuoka,56
여승준,28,business,busan,fukuoka,43
추단아,48,tourism,busan,osaka,83
좌윤재,30,tourism,jeju,fukuoka,89
문서하,14,other,jeju,tokyo,4
위수인,34,other,incheon,tokyo,13
승정원,8,tourism,kimpo,osaka,78
황나연,33,tourism,jeju,tokyo,78
유도경,27,tourism,jeju,fukuoka,58
가여준,71,business,jeju,osaka,74
황시현,56,other,jeju,fukuoka,59
장지혜,59,tourism,jeju,tokyo,59
한희원,2,other,kimpo,osaka,74
김승빈,47,business,kimpo,osaka,67
전태경,23,business,kimpo,fukuoka,34
이세은,44,tourism,kimpo,fukuoka,1
심예은,80,other,jeju,saporo,58
반나린,70,tourism,kimpo,saporo,76
가은혁,59,other,busan,osaka,26
원산,59,tourism,jeju,osaka,74
탁도원,67,tourism,jeju,osaka,37
제서율,42,business,busan,osaka,7
함효원,35,business,jeju,fukuoka,32
남윤주,5,tourism,busan,fukuoka,60
한준석,29,other,incheon,saporo,41
서유안,2,tourism,jeju,saporo,63
연준희,4,business,incheon,osaka,85
방현석,80,business,kimpo,saporo,10
강수현,18,tourism,jeju,fukuoka,24
라재희,16,other,kimpo,fukuoka,54
안다온,76,other,kimpo,saporo,74
태우진,35,business,busan,fukuoka,18
기수혁,22,business,incheon,fukuoka,35
민다원,5,tourism,busan,tokyo,85
명효린,71,other,busan,tokyo,62
은유준,28,other,incheon,saporo,67
모민주,26,other,busan,fukuoka,16
장서희,62,business,kimpo,osaka,11
공별,79,other,incheon,fukuoka,85
표유라,46,business,jeju,fukuoka,76
갈현성,32,business,kimpo,tokyo,59
우소담,29,business,incheon,saporo,82
노세인,18,business,kimpo,tokyo,86
사채현,36,other,kimpo,osaka,55
빈도경,18,business,incheon,osaka,61
옥선우,51,tourism,busan,fukuoka,44
권나영,42,other,kimpo,saporo,41
피수정,74,business,kimpo,osaka,11
당동우,79,tourism,jeju,osaka,1
신상우,63,business,incheon,saporo,56
추지환,73,other,busan,fukuoka,2
주유준,78,business,incheon,osaka,66
노건우,30,other,jeju,osaka,66
황채아,13,business,incheon,osaka,18
윤지용,6,tourism,kimpo,osaka,36
송상민,38,tourism,jeju,fukuoka,24
정주안,75,business,busan,osaka,18
승채연,2,other,jeju,saporo,64
곽재민,61,tourism,kimpo,saporo,8
나건후,60,business,kimpo,osaka,57
이다원,36,tourism,busan,fukuoka,60
심채은,29,business,busan,saporo,42
주제인,53,business,jeju,saporo,89
부서진,68,tourism,busan,saporo,54
육지율,7,other,busan,osaka,42
동정원,0,tourism,busan,osaka,35
조하랑,73,other,incheon,osaka,79
황민결,29,other,incheon,saporo,68
노도윤,23,business,kimpo,osaka,78
한도원,46,other,jeju,tokyo,43
구수현,28,other,busan,fukuoka,46
온진우,61,business,jeju,osaka,62
이강현,3,other,jeju,tokyo,20
홍지민,25,other,kimpo,saporo,9
천지용,41,other,incheon,saporo,86
여연아,34,business,kimpo,saporo,26
채한결,24,tourism,jeju,tokyo,76
임리원,71,tourism,kimpo,tokyo,50
봉진우,26,tourism,kimpo,saporo,70
추준현,43,other,jeju,saporo,8
류율,76,business,kimpo,tokyo,25
민건,56,tourism,incheon,saporo,77
빈연우,70,other,busan,saporo,55
서민호,60,other,busan,saporo,58
손하늘,34,other,kimpo,saporo,15
안민규,45,tourism,busan,fukuoka,80
모은비,13,tourism,kimpo,tokyo,24
인윤재,6,business,jeju,fukuoka,43
음효은,48,tourism,incheon,saporo,72
공호진,33,other,kimpo,fukuoka,14
소민규,77,tourism,jeju,osaka,61
류나은,54,other,busan,saporo,69
당라엘,72,other,kimpo,osaka,71
음정은,12,business,jeju,tokyo,44
강보경,15,business,incheon,fukuoka,7
감도아,59,tourism,busan,tokyo,71
위유안,41,tourism,incheon,fukuoka,24
복예서,51,business,incheon,saporo,16
석다윤,77,business,jeju,saporo,15
신하진,1,other,jeju,saporo,30
기도율,2,tourism,busan,saporo,19
여아진,11,tourism,busan,saporo,83
견단아,64,tourism,kimpo,tokyo,39
황지용,24,tourism,jeju,fukuoka,67
동서린,14,business,incheon,fukuoka,8
류유민,22,business,jeju,saporo,57
가윤주,30,tourism,kimpo,osaka,55
금채연,47,business,incheon,osaka,37
도재윤,48,other,kimpo,fukuoka,67
양은준,16,other,kimpo,saporo,90
표태훈,34,other,busan,saporo,76
심유준,38,tourism,kimpo,osaka,23
성재이,38,tourism,kimpo,saporo,2
송지온,38,tourism,jeju,saporo,30
위동욱,70,other,kimpo,osaka,54
소혜진,13,business,kimpo,osaka,80
시한별,50,tourism,incheon,osaka,79
황단우,68,other,jeju,osaka,65
차시은,4,other,incheon,saporo,78
허나연,6,business,incheon,tokyo,56
백서율,43,business,busan,saporo,2
류준현,41,tourism,incheon,osaka,24
공태환,38,tourism,incheon,fukuoka,20
라현우,65,business,incheon,fukuoka,9
두규리,76,other,incheon,fukuoka,69
연주은,29,other,incheon,osaka,15
최건우,31,tourism,busan,osaka,39
권태환,19,other,jeju,tokyo,63
지하나,77,business,incheon,saporo,26
조세인,14,business,kimpo,saporo,70
나하온,5,other,incheon,tokyo,51
노지연,48,other,jeju,fukuoka,64
권은우,64,business,incheon,tokyo,12
표찬,58,business,kimpo,tokyo,65
한은채,77,tourism,busan,fukuoka,53
오성원,32,other,jeju,tokyo,42
인동준,17,other,busan,osaka,46
복연호,68,business,busan,fukuoka,58
남채빈,48,tourism,incheon,saporo,43
피승재,10,other,incheon,fukuoka,40
함수현,44,tourism,kimpo,osaka,52
신승환,4,tourism,incheon,saporo,32
이강현,16,other,jeju,saporo,39
류태호,76,other,incheon,tokyo,68
사연지,23,tourism,kimpo,saporo,82
현새봄,39,tourism,incheon,osaka,10
갈도겸,59,tourism,incheon,fukuoka,7
승루아,66,tourism,kimpo,tokyo,6
노혜윤,59,other,incheon,saporo,2
공유건,53,other,kimpo,saporo,73
단예찬,11,tourism,incheon,saporo,61
옥태경,56,other,jeju,tokyo,60
가한율,25,business,jeju,fukuoka,80
노태이,53,other,incheon,fukuoka,53
하지안,54,business,jeju,saporo,25
맹강민,29,tourism,busan,saporo,54
태승환,66,other,kimpo,tokyo,80
진하율,33,tourism,busan,tokyo,79
사수아,41,business,kimpo,tokyo,40
목승우,35,business,incheon,tokyo,84
두아윤,23,other,kimpo,fukuoka,71
연연호,22,other,incheon,fukuoka,3
표리안,24,other,busan,fukuoka,72
봉은별,12,other,incheon,osaka,67
표서진,52,business,busan,fukuoka,88
권재호,74,tourism,busan,saporo,39
석우현,71,other,kimpo,osaka,64
지세빈,70,other,busan,osaka,1
은민솔,70,tourism,jeju,osaka,52
마효주,23,tourism,jeju,tokyo,73
전윤하,10,tourism,incheon,fukuoka,38
명재호,22,business,busan,saporo,82
차성준,38,business,busan,fukuoka,70
감진호,74,tourism,kimpo,osaka,50
장윤서,47,other,incheon,saporo,75
두시우,65,other,jeju,saporo,76
연석현,62,business,kimpo,osaka,33
용나은,40,business,incheon,saporo,75
육현지,13,other,jeju,osaka,71
편우준,5,tourism,kimpo,saporo,27
김민찬,68,tourism,kimpo,saporo,83
옥은비,75,other,jeju,tokyo,3
오태호,44,tourism,busan,tokyo,16
당예빈,1,tourism,incheon,osaka,65
경채희,26,other,incheon,saporo,71
옥태우,21,other,busan,saporo,19
원유안,44,other,busan,saporo,1
기슬아,68,other,busan,saporo,79
빈유민,6,other,jeju,saporo,4
육채현,5,business,busan,fukuoka,83
단예준,45,business,busan,tokyo,18
형윤지,66,business,kimpo,fukuoka,17
반주원,80,other,busan,saporo,39
시이솔,80,business,incheon,tokyo,86
왕건,20,business,kimpo,tokyo,83
태지성,34,business,incheon,tokyo,5
소승원,48,other,jeju,osaka,52
시민기,33,tourism,busan,osaka,86
류소율,6,other,jeju,saporo,46
지한별,39,business,jeju,fukuoka,4
표하율,5,other,incheon,osaka,68
표채빈,54,business,kimpo,fukuoka,15
간민건,55,business,kimpo,saporo,39
유재윤,58,business,kimpo,osaka,49
반여진,33,business,busan,saporo,32
용준석,17,tourism,jeju,tokyo,25
두소윤,9,other,incheon,saporo,47
함지온,21,business,kimpo,tokyo,12
피다인,77,other,jeju,osaka,13
권수민,76,tourism,kimpo,tokyo,82
기채윤,61,other,incheon,fukuoka,51
진태민,34,tourism,busan,tokyo,65
탁다경,39,business,jeju,osaka,46
탁재호,45,tourism,jeju,fukuoka,63
도준서,48,other,incheon,tokyo,60
모서영,59,tourism,kimpo,osaka,77
모혜인,13,other,incheon,osaka,12
공준호,48,tourism,kimpo,fukuoka,7
박시온,19,tourism,incheon,tokyo,2
현동건,45,tourism,jeju,fukuoka,58
빈정우,66,business,incheon,tokyo,86
마현진,67,business,busan,osaka,79
사태이,53,business,jeju,saporo,6
피하영,32,tourism,kimpo,fukuoka,37
선소영,74,other,kimpo,tokyo,29
탁은빈,33,tourism,kimpo,osaka,83
서시훈,8,other,kimpo,tokyo,4
위규빈,15,tourism,busan,tokyo,39
신아윤,37,business,jeju,saporo,42
맹도희,6,tourism,busan,fukuoka,63
승지효,17,tourism,kimpo,osaka,56
갈지환,70,tourism,kimpo,osaka,1
강도윤,41,other,kimpo,saporo,12
맹지완,66,tourism,incheon,tokyo,72
피준성,76,business,incheon,saporo,26
원한결,17,business,busan,saporo,37
노우현,17,business,kimpo,osaka,41
맹은수,77,tourism,kimpo,osaka,60
반지완,48,other,jeju,tokyo,38
좌승유,30,business,kimpo,tokyo,45
하다솜,21,business,kimpo,osaka,46
임우빈,23,tourism,jeju,saporo,63
주범준,53,business,incheon,saporo,75
조예림,79,tourism,incheon,osaka,28
허이한,32,tourism,busan,osaka,34
남나영,23,other,incheon,tokyo,2
제수현,1,other,busan,saporo,73
조지효,25,other,incheon,fukuoka,61
함현수,57,tourism,kimpo,saporo,42
유은찬,27,tourism,incheon,tokyo,3
온지혜,57,business,jeju,saporo,73
황지호,79,business,kimpo,tokyo,45
홍지율,13,tourism,kimpo,saporo,14
두승주,76,other,kimpo,saporo,11
장유라,69,business,incheon,fukuoka,13
안온유,80,other,busan,tokyo,75
노하람,26,business,incheon,saporo,51
노건,2,tourism,kimpo,osaka,88
사아영,58,business,incheon,saporo,52
주예린,5,other,incheon,fukuoka,1
지혜인,47,other,incheon,saporo,15
전은호,65,business,jeju,fukuoka,80
육유빈,56,other,jeju,fukuoka,86
단정현,23,business,jeju,fukuoka,12
배다율,4,other,incheon,tokyo,41
경건후,10,tourism,incheon,tokyo,32
호라윤,21,other,busan,osaka,82
기지웅,40,tourism,kimpo,tokyo,44
최재은,16,other,jeju,osaka,22
빈다혜,9,other,incheon,saporo,90
엄정윤,33,business,jeju,saporo,4
구예슬,80,business,incheon,saporo,33
갈태경,16,tourism,busan,fukuoka,31
맹세인,71,business,kimpo,tokyo,74
정은준,9,other,kimpo,osaka,60
빈효원,9,other,incheon,osaka,52
맹채이,36,other,busan,fukuoka,70
엄서원,51,tourism,incheon,fukuoka,19
시재영,2,tourism,busan,saporo,31
안정후,25,business,jeju,saporo,54
마승현,45,tourism,busan,osaka,11
승효준,42,other,busan,osaka,37
시혜린,24,tourism,busan,osaka,5
갈주환,4,business,jeju,saporo,1
인산,74,tourism,busan,osaka,75
류윤아,16,business,kimpo,osaka,88
전채희,15,tourism,busan,tokyo,27
정민하,1,business,busan,osaka,36
모정원,40,tourism,incheon,saporo,50
마은서,34,business,kimpo,fukuoka,32
인혜진,10,tourism,kimpo,fukuoka,80
빈은우,23,other,kimpo,tokyo,64
승은율,23,other,kimpo,saporo,82
감재훈,18,business,jeju,fukuoka,69
표지유,15,other,incheon,fukuoka,53
변혜민,77,business,busan,osaka,25
김민결,20,other,incheon,osaka,53
허민호,63,other,kimpo,saporo,85
김준원,72,tourism,busan,osaka,10
목정우,3,other,jeju,saporo,55
남민정,17,business,kimpo,tokyo,75
오효준,77,other,jeju,tokyo,89
상정빈,5,tourism,busan,tokyo,35
반율,38,other,jeju,tokyo,62
원지운,4,tourism,jeju,fukuoka,9
신진서,28,tourism,kimpo,saporo,1
노정민,14,business,kimpo,saporo,5
노예슬,23,business,kimpo,osaka,74
강준후,23,other,jeju,saporo,41
함율,42,tourism,kimpo,fukuoka,50
한소정,24,business,incheon,tokyo,15
양재윤,34,tourism,incheon,saporo,44
나예림,65,business,busan,fukuoka,33
왕혜린,12,other,kimpo,tokyo,79
어찬,26,business,kimpo,tokyo,41
호하윤,64,other,incheon,osaka,17
남윤아,15,tourism,busan,tokyo,79
좌용준,49,business,kimpo,fukuoka,3
감태현,39,tourism,kimpo,saporo,79
금준영,13,business,incheon,tokyo,26
표수빈,78,other,busan,fukuoka,65
신재하,47,business,incheon,osaka,76
정태리,36,business,kimpo,fukuoka,37
오예슬,7,tourism,busan,tokyo,6
감우현,46,tourism,incheon,tokyo,86
우서후,13,business,incheon,fukuoka,69
채현승,63,other,jeju,fukuoka,64
한영민,22,other,busan,tokyo,44
금이현,69,tourism,incheon,tokyo,5
단수현,34,other,incheon,fukuoka,76
허현진,74,business,busan,tokyo,69
박승호,72,business,jeju,saporo,35
승유현,17,business,busan,fukuoka,66
문은혁,60,business,jeju,fukuoka,85
진주하,52,tourism,kimpo,osaka,4
임율,1,other,kimpo,tokyo,58
엄예솔,8,other,busan,tokyo,3
국건우,58,tourism,incheon,tokyo,5
탁하랑,36,tourism,kimpo,fukuoka,18
두단아,47,business,jeju,tokyo,25
곽이솔,64,business,kimpo,osaka,24
감예담,23,other,incheon,saporo,42
태시후,37,other,busan,saporo,38
인서우,55,business,kimpo,tokyo,19
가민재,66,tourism,busan,saporo,19
현지한,11,business,busan,osaka,61
사도윤,55,business,kimpo,osaka,49
태재희,74,tourism,kimpo,saporo,10
문아인,25,tourism,jeju,saporo,16
용민혁,65,other,incheon,tokyo,31
성다솜,30,business,jeju,osaka,53
송현아,37,business,kimpo,tokyo,44
길유성,27,tourism,jeju,osaka,15
간유나,39,business,kimpo,tokyo,57
경유정,66,business,incheon,fukuoka,61
송도겸,45,other,kimpo,osaka,50
당정민,17,business,busan,fukuoka,32
양리아,7,other,jeju,saporo,86
지시안,1,tourism,busan,fukuoka,43
시고은,55,other,incheon,fukuoka,9
엄예지,33,business,busan,tokyo,27
단수현,69,other,jeju,fukuoka,19
홍다빈,28,business,busan,osaka,35
염현진,27,tourism,kimpo,saporo,78
천승아,47,other,incheon,saporo,49
태은솔,35,other,busan,fukuoka,27
선윤서,77,tourism,kimpo,tokyo,43
명현수,19,business,incheon,fukuoka,84
맹성훈,34,tourism,kimpo,osaka,79
함요한,8,other,incheon,saporo,28
차유림,51,business,busan,fukuoka,10
설도영,7,business,kimpo,osaka,50
탁순기,43,tourism,kimpo,saporo,87
하동윤,79,tourism,incheon,fukuoka,33
금도아,60,business,incheon,osaka,5
빈재민,14,tourism,kimpo,fukuoka,34
경재준,30,business,busan,osaka,59
윤예담,20,business,kimpo,tokyo,67
현해인,47,business,incheon,tokyo,15
전윤호,79,business,busan,saporo,87
홍혜성,49,business,busan,fukuoka,69
장해인,42,tourism,jeju,tokyo,35
박다온,70,tourism,busan,tokyo,69
명태민,56,tourism,jeju,tokyo,14
신윤,36,other,incheon,fukuoka,43
육태양,71,business,incheon,osaka,74
고승재,61,tourism,kimpo,fukuoka,5
신채연,79,business,incheon,tokyo,43
피민규,0,tourism,jeju,fukuoka,28
주도아,67,business,kimpo,tokyo,29
좌하온,73,business,kimpo,osaka,32
당은우,39,tourism,kimpo,fukuoka,79
하하랑,49,business,jeju,osaka,2
천유찬,66,other,jeju,tokyo,68
고예지,74,business,jeju,fukuoka,82
양제인,5,business,jeju,osaka,47
은서인,64,tourism,busan,osaka,1
시하람,10,tourism,kimpo,tokyo,60
도은채,58,business,kimpo,tokyo,48
공순기,58,tourism,incheon,osaka,30
남현석,3,tourism,incheon,fukuoka,61
문지아,21,business,busan,tokyo,45
황승준,46,other,jeju,osaka,54
공민수,54,tourism,jeju,saporo,26
동성진,57,business,kimpo,tokyo,89
음지원,18,other,jeju,fukuoka,47
두다빈,35,business,busan,fukuoka,65
배준우,71,tourism,jeju,saporo,5
제다인,38,other,incheon,saporo,67
황혜원,34,other,incheon,fukuoka,16
차우주,40,business,busan,fukuoka,58
갈가연,52,business,jeju,fukuoka,54
경아름,77,other,kimpo,osaka,87
문성빈,46,tourism,incheon,saporo,31
봉지완,14,other,kimpo,saporo,89
최도하,15,tourism,busan,fukuoka,61
장소은,29,other,busan,saporo,68
우지민,56,other,jeju,saporo,43
채라온,78,other,incheon,tokyo,63
복서희,25,business,jeju,tokyo,56
부로아,46,tourism,jeju,fukuoka,4
석혜린,76,tourism,incheon,fukuoka,72
함도영,16,business,kimpo,tokyo,20
나효린,39,other,incheon,osaka,35
윤현진,24,tourism,jeju,fukuoka,31
가연아,34,tourism,jeju,osaka,56
김소은,48,business,incheon,fukuoka,17
전혜성,33,other,busan,saporo,18
지태영,47,tourism,incheon,tokyo,40
권민우,2,tourism,busan,osaka,50
소성준,19,business,incheon,osaka,39
조보경,3,other,incheon,fukuoka,25
제라온,27,business,busan,saporo,2
태정민,65,other,incheon,tokyo,43
허예슬,11,business,incheon,osaka,12
노동훈,38,tourism,jeju,saporo,37
곽민재,36,other,busan,saporo,1
감태양,32,business,incheon,osaka,47
양다빈,49,other,busan,saporo,88
엄유리,77,business,jeju,osaka,11
노찬,17,other,jeju,osaka,65
손하빈,77,tourism,incheon,fukuoka,10
당은채,61,tourism,jeju,fukuoka,10
설다인,55,business,jeju,osaka,51
엄서원,57,business,busan,fukuoka,25
상하랑,38,tourism,kimpo,osaka,12
당유주,78,business,busan,osaka,84
박소윤,66,tourism,kimpo,osaka,5
구수지,20,tourism,incheon,osaka,75
변주환,24,tourism,jeju,saporo,11
인서하,46,tourism,incheon,saporo,34
석민경,47,business,incheon,tokyo,3
고세빈,17,business,busan,osaka,6
용원준,65,tourism,incheon,saporo,32
고소민,2,other,kimpo,saporo,8
연지우,43,tourism,jeju,tokyo,7
허효주,31,business,busan,osaka,29
피이안,76,other,jeju,tokyo,30
호현서,4,other,kimpo,osaka,53
류정현,22,other,jeju,fukuoka,82
진경민,58,tourism,busan,osaka,81
변보미,31,business,busan,tokyo,66
왕소정,67,other,jeju,fukuoka,50
노라윤,44,other,jeju,tokyo,33
마규민,65,other,jeju,osaka,15
상하율,52,other,jeju,osaka,61
추수지,17,other,busan,fukuoka,3
온윤서,29,tourism,kimpo,saporo,82
설가은,31,other,jeju,fukuoka,80
선태오,12,business,kimpo,tokyo,28
용라윤,77,business,incheon,tokyo,73
허주원,26,business,jeju,osaka,52
원지유,16,business,incheon,saporo,58
당진서,17,tourism,jeju,tokyo,52
허예지,37,other,jeju,saporo,12
정은빈,16,other,incheon,osaka,6
팽하민,63,business,kimpo,saporo,78
반성빈,24,business,kimpo,fukuoka,60
봉하랑,48,tourism,busan,tokyo,63
옥서정,31,other,kimpo,saporo,5
용하율,35,other,busan,saporo,81
한서준,75,tourism,kimpo,osaka,63
탁현민,8,other,kimpo,saporo,36
정하늘,66,business,busan,saporo,60
성다희,20,business,incheon,tokyo,53
음태윤,55,business,jeju,tokyo,50
마규현,13,business,jeju,tokyo,23
금선율,26,tourism,jeju,fukuoka,1
간은찬,43,other,incheon,osaka,71
설지호,5,tourism,kimpo,osaka,87
안태경,76,tourism,jeju,osaka,40
편미소,62,tourism,kimpo,saporo,89
단수연,36,tourism,busan,saporo,83
연태린,12,business,jeju,saporo,77
강현준,17,tourism,jeju,saporo,41
채아준,62,tourism,kimpo,osaka,1
소시현,55,business,busan,fukuoka,81
명서율,48,tourism,incheon,tokyo,86
원효은,22,business,kimpo,fukuoka,6
구태리,29,tourism,incheon,saporo,73
지민영,8,tourism,jeju,tokyo,87
설은혜,20,other,incheon,saporo,1
사하민,50,other,kimpo,saporo,37
상은빈,37,tourism,busan,fukuoka,18
길현민,68,other,busan,saporo,28
길수현,42,other,incheon,tokyo,57
채산,67,business,kimpo,fukuoka,58
인태이,75,tourism,busan,fukuoka,3
양아진,16,tourism,busan,tokyo,22
옥도영,78,other,jeju,saporo,11
편다빈,79,tourism,busan,osaka,1
인지운,6,other,kimpo,fukuoka,58
방해나,3,other,kimpo,fukuoka,3
고주환,67,other,kimpo,osaka,68
최시후,14,tourism,incheon,osaka,20
신유준,60,tourism,incheon,saporo,86
고지온,58,business,jeju,tokyo,75
선세아,67,business,jeju,saporo,69
권우준,80,other,incheon,osaka,14
용서우,48,other,kimpo,tokyo,27
손채민,47,other,jeju,tokyo,90
범승유,6,business,jeju,saporo,51
음혜윤,52,business,incheon,tokyo,74
편건희,51,other,kimpo,fukuoka,41
팽유안,28,business,jeju,osaka,6
진하람,4,other,incheon,tokyo,85
옥하온,68,tourism,jeju,saporo,43
임유림,72,business,incheon,saporo,24
홍우찬,5,other,kimpo,saporo,62
금시윤,51,tourism,busan,osaka,40
라시현,21,business,kimpo,fukuoka,43
석주호,63,business,jeju,fukuoka,46
복시아,59,tourism,incheon,fukuoka,46
염은서,44,business,busan,saporo,4
연지성,42,tourism,incheon,tokyo,65
가하린,73,other,jeju,tokyo,32
목가빈,76,tourism,jeju,saporo,82
음여진,41,tourism,incheon,saporo,19
명승원,71,tourism,jeju,fukuoka,35
엄서하,69,tourism,incheon,osaka,13
하찬우,52,tourism,busan,fukuoka,5
맹종현,37,tourism,incheon,saporo,52
명재혁,36,other,incheon,tokyo,88
천준호,31,other,busan,osaka,57
왕정민,65,business,busan,fukuoka,23
설유정,69,tourism,incheon,fukuoka,77
한도경,3,tourism,busan,osaka,1
오유빈,56,tourism,incheon,saporo,40
나민규,14,other,kimpo,saporo,29
홍민기,73,other,incheon,osaka,30
남시은,52,tourism,kimpo,tokyo,34
표성빈,71,business,busan,osaka,84
손시윤,63,other,incheon,fukuoka,43
고리원,28,other,incheon,tokyo,5
여지영,40,tourism,busan,saporo,60
온라윤,6,business,kimpo,osaka,86
동민규,61,tourism,incheon,osaka,77
송은재,59,tourism,jeju,tokyo,4
목은우,38,other,kimpo,osaka,52
기서정,64,other,jeju,tokyo,86
상예담,72,tourism,incheon,tokyo,47
천서우,69,tourism,jeju,fukuoka,33
강아현,30,other,jeju,saporo,70
호시호,77,other,jeju,saporo,6
피아준,79,business,kimpo,fukuoka,59
봉동하,20,other,jeju,osaka,43
제하율,21,other,busan,osaka,30
편동우,57,other,busan,saporo,29
정성윤,53,tourism,kimpo,fukuoka,56
국도진,41,other,busan,tokyo,13
허준수,36,tourism,incheon,fukuoka,17
장준형,77,tourism,jeju,saporo,85
상이현,49,business,jeju,osaka,51
국동하,62,tourism,incheon,osaka,69
예유현,38,business,kimpo,fukuoka,71
좌시우,58,other,busan,osaka,74
제설아,9,business,incheon,osaka,34
도이솔,62,business,incheon,tokyo,27
예현우,12,business,kimpo,osaka,1
맹유은,61,business,incheon,fukuoka,85
두온유,47,other,kimpo,tokyo,90
모지호,79,business,jeju,osaka,33
서강민,21,tourism,kimpo,osaka,51
이효은,43,tourism,jeju,osaka,74
강태호,35,tourism,jeju,saporo,62
임윤주,29,other,busan,osaka,1
목지웅,49,other,kimpo,fukuoka,79
마한율,56,tourism,busan,fukuoka,66
남한별,79,tourism,busan,osaka,20
백준현,44,business,busan,saporo,26
가은찬,46,other,busan,fukuoka,77
육지한,62,business,jeju,tokyo,35
편가람,46,business,jeju,osaka,88
태선율,13,business,busan,tokyo,41
동하늘,24,tourism,incheon,fukuoka,16
남진호,17,tourism,jeju,saporo,11
오은성,22,other,kimpo,osaka,67
연승유,49,tourism,jeju,fukuoka,90
고범준,39,tourism,busan,fukuoka,20
반이현,34,business,jeju,saporo,90
갈민우,3,tourism,kimpo,tokyo,11
마수연,14,business,kimpo,osaka,44
옥서호,60,business,busan,saporo,23
변태오,8,other,incheon,osaka,87
안소영,14,tourism,kimpo,tokyo,71
승호진,12,tourism,incheon,saporo,5
모수연,14,other,incheon,tokyo,22
예민호,27,business,jeju,tokyo,78
두소희,19,tourism,jeju,saporo,29
연은준,46,tourism,jeju,osaka,38
피재영,74,business,busan,saporo,10
상민채,61,business,kimpo,osaka,20
여다은,54,other,jeju,fukuoka,36
석동윤,25,business,kimpo,saporo,65
주지호,66,tourism,jeju,fukuoka,35
우태민,37,business,busan,saporo,16
표준우,64,other,jeju,tokyo,37
지재희,58,business,jeju,fukuoka,21
기태환,9,business,busan,osaka,88
명하늘,4,tourism,busan,tokyo,69
추지원,25,business,busan,saporo,28
함건우,21,other,busan,fukuoka,72
표윤진,80,other,kimpo,osaka,34
오동하,58,business,incheon,tokyo,62
인윤건,41,tourism,incheon,saporo,60
부시환,69,other,kimpo,saporo,33
